Transaction_ID,Source_Account,Target_Account,Amount,Timestamp,Is_Synthetic_Fraud,Typology,Risk_Level,Scenario_Label
TXN_BASE_0000000,ACC_04837,ACC_04671,163.38,2025-01-01 00:00:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000001,ACC_03323,ACC_00878,76.25,2025-01-01 00:01:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000002,ACC_04902,ACC_03072,195.83,2025-01-01 00:04:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000003,ACC_02310,ACC_02605,559.83,2025-01-01 00:06:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000004,ACC_02409,ACC_02205,67.97,2025-01-01 00:06:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000005,ACC_00047,ACC_01535,67.97,2025-01-01 00:07:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000006,ACC_02632,ACC_01324,598.88,2025-01-01 00:07:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000007,ACC_03406,ACC_00936,226.09,2025-01-01 00:07:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000008,ACC_00499,ACC_02588,51.25,2025-01-01 00:09:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000009,ACC_00262,ACC_03437,172.62,2025-01-01 00:09:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000010,ACC_01288,ACC_03016,51.62,2025-01-01 00:13:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000011,ACC_03905,ACC_00126,51.48,2025-01-01 00:14:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000012,ACC_03533,ACC_02365,120.34,2025-01-01 00:15:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000013,ACC_01561,ACC_00274,10.0,2025-01-01 00:16:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000014,ACC_03861,ACC_03295,11.36,2025-01-01 00:16:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000015,ACC_01372,ACC_00056,45.84,2025-01-01 00:20:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000016,ACC_00663,ACC_02809,26.7,2025-01-01 00:21:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000017,ACC_04474,ACC_02293,131.25,2025-01-01 00:23:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000018,ACC_02107,ACC_03722,30.28,2025-01-01 00:24:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000019,ACC_01021,ACC_01461,16.53,2025-01-01 00:25:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000020,ACC_00211,ACC_04346,522.58,2025-01-01 00:27:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000021,ACC_00025,ACC_02972,68.65,2025-01-01 00:29:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000022,ACC_02659,ACC_02606,97.62,2025-01-01 00:31:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000023,ACC_01019,ACC_01393,16.29,2025-01-01 00:32:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000024,ACC_01816,ACC_03544,46.84,2025-01-01 00:33:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000025,ACC_00029,ACC_03347,102.83,2025-01-01 00:33:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000026,ACC_02580,ACC_03547,22.62,2025-01-01 00:35:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000027,ACC_01085,ACC_01363,141.29,2025-01-01 00:36:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000028,ACC_01424,ACC_00971,43.78,2025-01-01 00:37:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000029,ACC_01552,ACC_04162,63.43,2025-01-01 00:41:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000030,ACC_02727,ACC_03090,43.73,2025-01-01 00:47:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000031,ACC_00779,ACC_04784,831.09,2025-01-01 00:49:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000032,ACC_03985,ACC_00107,88.57,2025-01-01 00:49:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000033,ACC_02240,ACC_02088,25.3,2025-01-01 00:49:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000034,ACC_02013,ACC_02145,241.54,2025-01-01 00:51:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000035,ACC_00219,ACC_04800,20.8,2025-01-01 00:51:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000036,ACC_00224,ACC_01815,115.66,2025-01-01 00:53:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000037,ACC_01154,ACC_04345,10.0,2025-01-01 00:54:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000038,ACC_01966,ACC_00783,18.29,2025-01-01 00:55:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000039,ACC_02023,ACC_04526,114.0,2025-01-01 00:55:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000040,ACC_04785,ACC_04457,218.36,2025-01-01 00:57:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000041,ACC_03392,ACC_01871,110.57,2025-01-01 00:58:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000042,ACC_01567,ACC_01947,78.35,2025-01-01 00:58:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000043,ACC_04854,ACC_02989,62.72,2025-01-01 00:59:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000044,ACC_01240,ACC_01636,15.27,2025-01-01 00:59:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000045,ACC_02271,ACC_01365,37.95,2025-01-01 01:00:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000046,ACC_00030,ACC_03857,51.79,2025-01-01 01:01:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000047,ACC_04926,ACC_00880,320.07,2025-01-01 01:01:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000048,ACC_03803,ACC_04748,135.96,2025-01-01 01:02:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000049,ACC_02033,ACC_01646,10.85,2025-01-01 01:04:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000050,ACC_00852,ACC_02814,132.81,2025-01-01 01:09:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000051,ACC_03410,ACC_02423,56.71,2025-01-01 01:09:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000052,ACC_04155,ACC_01893,39.95,2025-01-01 01:09:00,0,Standard_Retail,LOW_RISK,Standard_Retail
TXN_BASE_0000053,ACC_02600,ACC_01058,187.54,2025-01-01 01:11:00,0,Standard_Retail,LOW_RISK,Standard_Retail
