Transaction_ID,Source_Account,Target_Account,Amount,Timestamp,Is_Synthetic_Fraud,Typology
TXN_BASE_0000000,ACC_04435,ACC_01816,163.38,2025-01-01 00:01:00,0,Standard_Retail
TXN_BASE_0000001,ACC_01419,ACC_00673,76.25,2025-01-01 00:06:00,0,Standard_Retail
TXN_BASE_0000002,ACC_02559,ACC_01285,195.83,2025-01-01 00:06:00,0,Standard_Retail
TXN_BASE_0000003,ACC_04981,ACC_01985,559.83,2025-01-01 00:09:00,0,Standard_Retail
TXN_BASE_0000004,ACC_03925,ACC_01476,67.97,2025-01-01 00:11:00,0,Standard_Retail
TXN_BASE_0000005,ACC_03394,ACC_03959,67.97,2025-01-01 00:12:00,0,Standard_Retail
TXN_BASE_0000006,ACC_02367,ACC_02281,598.88,2025-01-01 00:12:00,0,Standard_Retail
TXN_BASE_0000007,ACC_00197,ACC_04561,226.09,2025-01-01 00:13:00,0,Standard_Retail
TXN_BASE_0000008,ACC_02508,ACC_01488,51.25,2025-01-01 00:14:00,0,Standard_Retail
TXN_BASE_0000009,ACC_04782,ACC_01959,172.62,2025-01-01 00:15:00,0,Standard_Retail
TXN_BASE_0000010,ACC_03343,ACC_01763,51.62,2025-01-01 00:16:00,0,Standard_Retail
TXN_BASE_0000011,ACC_03646,ACC_02818,51.48,2025-01-01 00:16:00,0,Standard_Retail
TXN_BASE_0000012,ACC_01813,ACC_00180,120.34,2025-01-01 00:18:00,0,Standard_Retail
TXN_BASE_0000013,ACC_02584,ACC_03427,10.0,2025-01-01 00:19:00,0,Standard_Retail
TXN_BASE_0000014,ACC_04411,ACC_02868,11.36,2025-01-01 00:20:00,0,Standard_Retail
TXN_BASE_0000015,ACC_03336,ACC_01176,45.84,2025-01-01 00:20:00,0,Standard_Retail
TXN_BASE_0000016,ACC_02480,ACC_02425,26.7,2025-01-01 00:20:00,0,Standard_Retail
TXN_BASE_0000017,ACC_00611,ACC_00621,131.25,2025-01-01 00:21:00,0,Standard_Retail
TXN_BASE_0000018,ACC_01054,ACC_03604,30.28,2025-01-01 00:21:00,0,Standard_Retail
TXN_BASE_0000019,ACC_04159,ACC_04264,16.53,2025-01-01 00:22:00,0,Standard_Retail
TXN_BASE_0000020,ACC_02163,ACC_03424,8124.82,2025-01-01 00:22:00,0,Counter_Leakage_Structuring
TXN_BASE_0000021,ACC_03314,ACC_00808,68.65,2025-01-01 00:27:00,0,Standard_Retail
TXN_BASE_0000022,ACC_02285,ACC_04871,97.62,2025-01-01 00:28:00,0,Standard_Retail
TXN_BASE_0000023,ACC_03049,ACC_00120,16.29,2025-01-01 00:31:00,0,Standard_Retail
TXN_BASE_0000024,ACC_00321,ACC_03339,46.84,2025-01-01 00:32:00,0,Standard_Retail
TXN_BASE_0000025,ACC_03735,ACC_02595,102.83,2025-01-01 00:33:00,0,Standard_Retail
TXN_BASE_0000026,ACC_03565,ACC_01806,22.62,2025-01-01 00:35:00,0,Standard_Retail
TXN_BASE_0000027,ACC_00009,ACC_03738,141.29,2025-01-01 00:38:00,0,Standard_Retail
TXN_BASE_0000028,ACC_04193,ACC_02587,43.78,2025-01-01 00:38:00,0,Standard_Retail
TXN_BASE_0000029,ACC_01865,ACC_02902,63.43,2025-01-01 00:38:00,0,Standard_Retail
TXN_BASE_0000030,ACC_01880,ACC_00813,9357.56,2025-01-01 00:39:00,0,Counter_Leakage_Structuring
TXN_BASE_0000031,ACC_03881,ACC_02415,831.09,2025-01-01 00:40:00,0,Standard_Retail
TXN_BASE_0000032,ACC_04800,ACC_02607,88.57,2025-01-01 00:42:00,0,Standard_Retail
TXN_BASE_0000033,ACC_01471,ACC_04211,25.3,2025-01-01 00:43:00,0,Standard_Retail
